Repository,Type,#,User,Title,State,Created,Updated,URL
verygoodsecurity/vault,Issue,1998,k-sever,Implement smoke test for PDF redaction,open,09/29/17 05:54:22,11/13/17 13:52:25,https://github.com/verygoodsecurity/vault/issues/1998
verygoodsecurity/vault,Issue,1992,yyunikov,Add smoke tests for terminator,open,09/27/17 03:47:28,09/27/17 03:51:58,https://github.com/verygoodsecurity/vault/issues/1992
verygoodsecurity/vault,Issue,1991,mjallday,Prohibit Multiple Reverse Proxies for a Single Vault,open,09/26/17 16:42:15,03/21/18 14:01:14,https://github.com/verygoodsecurity/vault/issues/1991
verygoodsecurity/vault,Issue,1987,yyunikov,Log client IP from ELB proxy protocol for forward proxy,open,09/26/17 06:38:48,04/16/18 03:40:57,https://github.com/verygoodsecurity/vault/issues/1987
verygoodsecurity/vault,Issue,1986,max-lobur,Generate heartbeat log record few times per hour (like every 15 mins),open,09/26/17 04:37:11,09/26/17 11:24:48,https://github.com/verygoodsecurity/vault/issues/1986
verygoodsecurity/vault,Issue,1958,mjallday,Acceptor Threads are Full,open,09/18/17 20:05:19,09/19/17 08:21:16,https://github.com/verygoodsecurity/vault/issues/1958
verygoodsecurity/vault,Issue,1956,osklyarenko,Token Audit events should be logged at higher level,open,09/18/17 14:01:28,09/18/17 15:35:34,https://github.com/verygoodsecurity/vault/issues/1956
verygoodsecurity/vault,Issue,1948,mjallday,Use Messages Instead of Models,open,09/17/17 20:09:20,03/21/18 14:01:14,https://github.com/verygoodsecurity/vault/issues/1948
verygoodsecurity/vault,Issue,1942,yyunikov,Cleanup created tenants after running smoke tests on dev,open,09/14/17 08:59:36,09/14/17 09:00:24,https://github.com/verygoodsecurity/vault/issues/1942
verygoodsecurity/vault,Issue,1941,yyunikov,Refactor smoke tests,open,09/14/17 08:55:29,09/14/17 09:00:50,https://github.com/verygoodsecurity/vault/issues/1941
verygoodsecurity/vault,Issue,1931,zdmytriv,Create an API so user can CRUD certificates,open,09/12/17 04:24:18,09/12/17 04:24:18,https://github.com/verygoodsecurity/vault/issues/1931
verygoodsecurity/vault,Issue,1930,zdmytriv,Create an API so user can CRUD SFTP upstream,open,09/12/17 04:21:37,09/12/17 04:21:37,https://github.com/verygoodsecurity/vault/issues/1930
verygoodsecurity/vault,Issue,1928,k-sever,Matched requests traffic metric,open,09/11/17 08:10:16,09/12/17 04:32:25,https://github.com/verygoodsecurity/vault/issues/1928
verygoodsecurity/vault,Issue,1925,osklyarenko,Migrate to Spring Boot 1.4.3,open,09/11/17 04:22:31,09/11/17 04:23:03,https://github.com/verygoodsecurity/vault/issues/1925
verygoodsecurity/vault,Issue,1922,viacheslav-fomin-main,Extract Transformer and PayloadStorage implementations,open,09/11/17 01:22:45,09/11/17 01:22:45,https://github.com/verygoodsecurity/vault/issues/1922
verygoodsecurity/vault,Issue,1919,mjallday,Include Rollbar Meta Data,open,09/10/17 09:37:10,11/06/17 18:57:15,https://github.com/verygoodsecurity/vault/issues/1919
verygoodsecurity/vault,Issue,1918,igor-dmitriev,FindInterceptor does not work for lazy fields,open,09/08/17 09:34:02,09/19/17 15:21:15,https://github.com/verygoodsecurity/vault/issues/1918
verygoodsecurity/vault,Issue,1913,igor-dmitriev,Get rig of HTTP related code in DefaultProvisioningService,open,09/08/17 01:05:12,09/08/17 01:05:31,https://github.com/verygoodsecurity/vault/issues/1913
verygoodsecurity/vault,Issue,1903,yyunikov,Enable Sonar dependency check plugin,open,09/07/17 01:46:46,09/07/17 01:53:38,https://github.com/verygoodsecurity/vault/issues/1903
verygoodsecurity/vault,Issue,1901,mjallday,Remove Support for upstream_url,open,09/06/17 16:16:49,09/06/17 16:31:31,https://github.com/verygoodsecurity/vault/issues/1901
verygoodsecurity/vault,Issue,1887,igor-dmitriev,Reimplement vault authorization header,open,09/05/17 04:26:17,12/29/17 10:19:37,https://github.com/verygoodsecurity/vault/issues/1887
verygoodsecurity/vault,Issue,1885,igor-dmitriev,`The adapter operation was aborted` error there are more than 100 log entries ,open,09/04/17 09:43:38,09/04/17 09:43:46,https://github.com/verygoodsecurity/vault/issues/1885
verygoodsecurity/vault,Issue,1872,akhon,Increase Verbosity Level of Genpop App,open,09/01/17 09:27:51,10/07/17 10:00:38,https://github.com/verygoodsecurity/vault/issues/1872
verygoodsecurity/vault,Issue,1871,igor-dmitriev,Move TenantHelper to a separate module,open,09/01/17 07:15:57,09/01/17 07:15:57,https://github.com/verygoodsecurity/vault/issues/1871
verygoodsecurity/vault,Issue,1870,viacheslav-fomin-main,Extract PublicTokenGenerator implementations into the new module,open,09/01/17 05:08:00,09/01/17 05:08:00,https://github.com/verygoodsecurity/vault/issues/1870
verygoodsecurity/vault,Issue,1866,pgyschuk,TooLongFrameException: Response entity too large thrown for response with size  74372409 bytes,open,09/01/17 02:40:09,09/10/17 09:35:46,https://github.com/verygoodsecurity/vault/issues/1866
verygoodsecurity/vault,Issue,1859,pgyschuk,IllegalArgumentException thrown when user tries to detokenize request/response with invalid token,open,08/30/17 08:26:23,08/30/17 08:27:29,https://github.com/verygoodsecurity/vault/issues/1859
verygoodsecurity/vault,Issue,1858,igor-dmitriev,Create common ObjectMapper,open,08/30/17 06:47:03,09/09/17 13:52:52,https://github.com/verygoodsecurity/vault/issues/1858
verygoodsecurity/vault,Issue,1857,pgyschuk,PatternSyntaxException throws for rules with RegExp transforment and invalid regular expression,open,08/30/17 05:10:52,08/30/17 06:31:26,https://github.com/verygoodsecurity/vault/issues/1857
verygoodsecurity/vault,Issue,1856,igor-dmitriev,Sorting by Created At for Request Logs,open,08/30/17 04:29:54,08/30/17 09:00:54,https://github.com/verygoodsecurity/vault/issues/1856
verygoodsecurity/vault,Issue,1855,yuriyshafranyuk1,Handling situation when id not found,open,08/30/17 03:23:24,11/02/17 07:35:26,https://github.com/verygoodsecurity/vault/issues/1855
verygoodsecurity/vault,Issue,1853,yuriyshafranyuk1,FILE_STORAGE transformer: return original response when file not found,open,08/30/17 03:01:40,11/02/17 07:35:26,https://github.com/verygoodsecurity/vault/issues/1853
verygoodsecurity/vault,Issue,1852,mjallday,Health Check Short Circuit,open,08/29/17 20:52:46,11/13/17 04:25:36,https://github.com/verygoodsecurity/vault/issues/1852
verygoodsecurity/vault,Issue,1848,osklyarenko,Upgrade dependency check plugin,open,08/29/17 07:46:44,08/29/17 07:46:44,https://github.com/verygoodsecurity/vault/issues/1848
verygoodsecurity/vault,Issue,1843,mjallday,Log When Transform Occurs,open,08/28/17 11:20:58,09/06/17 15:51:31,https://github.com/verygoodsecurity/vault/issues/1843
verygoodsecurity/vault,Issue,1841,yuriyshafranyuk1,Refactor PDF_METADATA_TOKEN related code,open,08/28/17 07:27:31,10/31/17 08:17:32,https://github.com/verygoodsecurity/vault/issues/1841
verygoodsecurity/vault,Issue,1837,mjallday,Rule Entry Rewrite Metrics,open,08/24/17 19:40:55,09/11/17 11:00:37,https://github.com/verygoodsecurity/vault/issues/1837
verygoodsecurity/vault,Issue,1836,mjallday,Alert if Host Fails DNS Resolution,open,08/24/17 13:22:03,08/25/17 12:34:05,https://github.com/verygoodsecurity/vault/issues/1836
verygoodsecurity/vault,Issue,1833,max-lobur,Add smoke test to test mgmt app standalaone,open,08/23/17 15:10:27,08/25/17 12:35:33,https://github.com/verygoodsecurity/vault/issues/1833
verygoodsecurity/vault,Issue,1823,mjallday,Heap Dump not Generated on OOM,open,08/22/17 12:47:00,11/06/17 18:57:50,https://github.com/verygoodsecurity/vault/issues/1823
verygoodsecurity/vault,Issue,1815,mjallday,Log to fluentd,open,08/21/17 15:59:43,03/21/18 14:01:13,https://github.com/verygoodsecurity/vault/issues/1815
verygoodsecurity/vault,Issue,1796,osklyarenko,docker compose local config should log in DEBUG mode,open,08/16/17 15:03:55,03/21/18 14:01:13,https://github.com/verygoodsecurity/vault/issues/1796
verygoodsecurity/vault,Issue,1790,viacheslav-fomin-main,Refactor chained proxy adapters,open,08/15/17 08:12:02,08/15/17 08:14:35,https://github.com/verygoodsecurity/vault/issues/1790
verygoodsecurity/vault,Issue,1788,akhon,bad_record_mac error on production,open,08/15/17 07:42:08,09/11/17 04:45:09,https://github.com/verygoodsecurity/vault/issues/1788
verygoodsecurity/vault,Issue,1785,yyunikov,Investigate CircleCI 2.0 context,open,08/15/17 03:13:17,08/15/17 04:10:24,https://github.com/verygoodsecurity/vault/issues/1785
verygoodsecurity/vault,Issue,1777,yuriyshafranyuk1,Add support of sftp version up to 6,open,08/10/17 05:14:31,08/25/17 12:57:25,https://github.com/verygoodsecurity/vault/issues/1777
verygoodsecurity/vault,Issue,1768,mjallday,Rule Chain and Entry Identifiers,open,08/09/17 10:58:00,03/21/18 14:01:13,https://github.com/verygoodsecurity/vault/issues/1768
verygoodsecurity/vault,Issue,1764,akhon,Dehardcode DynamoDB table name for SecureLogger,open,08/09/17 02:45:49,08/25/17 13:08:40,https://github.com/verygoodsecurity/vault/issues/1764
verygoodsecurity/vault,Issue,1762,akhon,Standartize Log Filenames,open,08/08/17 09:45:16,11/01/17 01:18:47,https://github.com/verygoodsecurity/vault/issues/1762
verygoodsecurity/vault,Issue,1744,zdmytriv,Improve sftp logging when destination directory is read-only,open,08/03/17 15:27:56,08/25/17 07:45:21,https://github.com/verygoodsecurity/vault/issues/1744
verygoodsecurity/vault,Issue,1743,pgyschuk,Improve HttpMessageAdapter.multipart method,open,08/03/17 11:05:45,08/25/17 12:56:40,https://github.com/verygoodsecurity/vault/issues/1743
verygoodsecurity/vault,Issue,1723,zdmytriv,Improve logging for key rotation,open,08/01/17 07:53:45,11/13/17 04:26:37,https://github.com/verygoodsecurity/vault/issues/1723
verygoodsecurity/vault,Issue,1713,zdmytriv,Add tags field to accounts and tenants tables in both genpop and vault dbs,open,07/28/17 07:49:02,08/25/17 13:17:01,https://github.com/verygoodsecurity/vault/issues/1713
verygoodsecurity/vault,Issue,1708,pgyschuk,Implement support of multiple value for http readers,open,07/27/17 16:28:01,08/25/17 12:55:33,https://github.com/verygoodsecurity/vault/issues/1708
verygoodsecurity/vault,Issue,1706,akhon,Fix DB migration script,open,07/27/17 10:40:22,11/01/17 05:05:41,https://github.com/verygoodsecurity/vault/issues/1706
verygoodsecurity/vault,Issue,1697,igor-dmitriev,Secure Logger feature flag,open,07/26/17 12:29:01,07/26/17 12:30:16,https://github.com/verygoodsecurity/vault/issues/1697
verygoodsecurity/vault,Issue,1691,k-sever,Add transformer config validations,open,07/26/17 07:27:26,10/31/17 07:46:36,https://github.com/verygoodsecurity/vault/issues/1691
verygoodsecurity/vault,Issue,1690,max-lobur,Make smoke tests easier to run against non-active stack,open,07/26/17 06:46:17,07/26/17 06:46:17,https://github.com/verygoodsecurity/vault/issues/1690
verygoodsecurity/vault,Issue,1689,k-sever,Refactor PDF redactor to close IO streams correctly,open,07/26/17 04:45:38,08/25/17 12:54:41,https://github.com/verygoodsecurity/vault/issues/1689
verygoodsecurity/vault,Issue,1674,osklyarenko,Whilelist - Content type for JSON API is set incorrectly.,open,07/21/17 14:55:28,07/21/17 14:55:28,https://github.com/verygoodsecurity/vault/issues/1674
verygoodsecurity/vault,Issue,1661,nikolay-popov,"Get rid of unused RuleChain protocol and port fields, remove the confusion between protocol and transport",open,07/19/17 14:46:58,08/25/17 12:54:08,https://github.com/verygoodsecurity/vault/issues/1661
verygoodsecurity/vault,Issue,1656,igor-dmitriev,Introduce MockMvc for controllers,open,07/19/17 01:42:44,08/25/17 12:53:39,https://github.com/verygoodsecurity/vault/issues/1656
verygoodsecurity/vault,Issue,1649,mjallday,Log Customer Errors,open,07/17/17 11:24:27,09/18/17 14:19:20,https://github.com/verygoodsecurity/vault/issues/1649
verygoodsecurity/vault,Issue,1643,k-sever,Make logger threshold level configurable for FILE_JSON appender,open,07/15/17 04:09:59,08/25/17 12:53:09,https://github.com/verygoodsecurity/vault/issues/1643
verygoodsecurity/vault,Issue,1630,osklyarenko,Auth0AuthenticationProvider is missing tests,open,07/13/17 14:15:54,02/13/18 13:38:09,https://github.com/verygoodsecurity/vault/issues/1630
verygoodsecurity/vault,Issue,1626,k-sever,Add migrations to CI,open,07/13/17 05:00:19,07/13/17 05:57:45,https://github.com/verygoodsecurity/vault/issues/1626
verygoodsecurity/vault,Issue,1615,yuriyshafranyuk1,Improve sftp proxy error handling,open,07/11/17 07:46:13,07/11/17 07:46:13,https://github.com/verygoodsecurity/vault/issues/1615
verygoodsecurity/vault,Issue,1604,viacheslav-fomin-main,Certificates table contains key stores,open,07/10/17 05:05:29,11/02/17 07:42:37,https://github.com/verygoodsecurity/vault/issues/1604
verygoodsecurity/vault,Issue,1602,yuriyshafranyuk1,Implement delete tenant endpoint in Vault Mngmt,open,07/10/17 03:59:41,07/27/17 04:22:36,https://github.com/verygoodsecurity/vault/issues/1602
verygoodsecurity/vault,Issue,1599,zdmytriv,Verify if we can handle request with property that resolves to null value,open,07/08/17 02:30:38,11/13/17 04:25:36,https://github.com/verygoodsecurity/vault/issues/1599
verygoodsecurity/vault,Issue,1590,k-sever,Evaluate test containers usage for DB-depended tests,open,07/07/17 07:55:39,07/07/17 08:14:33,https://github.com/verygoodsecurity/vault/issues/1590
verygoodsecurity/vault,Issue,1587,yuriyshafranyuk1,Implement secure logger for sftp proxy,open,07/07/17 05:25:55,07/07/17 11:10:29,https://github.com/verygoodsecurity/vault/issues/1587
